CustId,AccountLocation,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup
4188499,GIB,Mr,Elvis,Presley,11/1/2011,US,en,A,10/18/1948,Y,Bronze
1191874,GIB,Mr,Jim,Morrison,9/19/2008,US,en,A,7/27/1967,Y,Gold
3042166,GIB,Mr,Keith,Moon,1/11/2011,UK ,en,A,7/26/1970,Y,Gold
5694730,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,4/5/1976,N,Bronze
4704925,GIB,Mr,Marc,Bolan,3/26/2012,UK ,en,A,3/11/1982,Y,Bronze
1569944,GIB,Miss,Janice,Joplin,4/9/2009,US,en,A,8/22/1954,Y,Gold
3531845,GIB,Mr,Bon,Scott,4/2/2011,AU,en,A,10/22/1975,N,Silver
2815836,GIB,Mr,Buddy,Holly,10/17/2010,US,en,A,1/13/1964,Y,Silver
889782,GIB,Mr,Bob,Marley,1/16/2008,UK ,en,A,4/18/1964,Y,Silver
1965214,GIB,Mr,Sidney,Vicious,12/18/2009,UK ,en,A,8/12/1976,N,Bronze
